,dim_PV,dim_batt,coût_tot_dim,score_contrôle,tau_autoprod,tau_autocons
0,3,9,"1210,96273290654","729813,664532715","[0,328507546530315, 0,6352753405243537, 0,8246489783089127, 0,9195549908888299, 0,809463139758105, 0,981266115418361, 1,0, 0,995228032016407, 1,0, 0,8379981527421578, 0,6866771342894595, 0,44180102986766157]","[0,9632261908696915, 0,8443784045205294, 0,8220402990036737, 0,7438514044390625, 0,7971033143000069, 0,751019241782301, 0,708831529052705, 0,7240121840282718, 0,7229530493076679, 0,80291605086692, 0,9517893872440241, 0,9835628904525383]"
0,4,9,"1190,98778290963","-20061,085451851","[0,4099608520560255, 0,7185528555560521, 0,8863493621307942, 0,964200544615755, 0,8629435503050265, 1,0, 1,0, 0,9964412667559176, 1,0, 0,9831116429480503, 0,8057716363339044, 0,5158725337447394]","[0,9280890837389455, 0,735131702522115, 0,6986106883679211, 0,6066827888911399, 0,6772140794645937, 0,6080111399152431, 0,567956330704485, 0,5787818149460096, 0,5829898063079927, 0,667827640721104, 0,8182386317166197, 0,875033786357092]"
0,3,9,"1210,96273290654","729813,664532715","[0,328507546530315, 0,6352753405243537, 0,8246489783089127, 0,9195549908888299, 0,809463139758105, 0,981266115418361, 1,0, 0,995228032016407, 1,0, 0,8379981527421578, 0,6866771342894595, 0,44180102986766157]","[0,9632261908696915, 0,8443784045205294, 0,8220402990036737, 0,7438514044390625, 0,7971033143000069, 0,751019241782301, 0,708831529052705, 0,7240121840282718, 0,7229530493076679, 0,80291605086692, 0,9517893872440241, 0,9835628904525383]"
0,5,9,"1184,83357517012","-700832,124149382","[0,47245269855517447, 0,7745595939769716, 0,9327926405815838, 0,9827453200557202, 0,8998954144025412, 1,0, 1,0, 0,9976870234426183, 1,0, 0,9885226160407075, 0,9475902188974159, 0,5813911332830255]","[0,8675168387840222, 0,6464933489570622, 0,6203318321135338, 0,5188350762604846, 0,5776398079885554, 0,4984734124058392, 0,4755571463021002, 0,4961491338748655, 0,48967462915527293, 0,5860078696149065, 0,6908367700081827, 0,795490721912758]"
0,6,10,"1274,81023595605","-1275948,82021975","[0,5402467582260424, 0,8304345928841653, 0,9370300454522174, 0,97936189608357, 0,9112239006979753, 0,9996340380858103, 1,0, 0,9985661669752471, 1,0, 0,9866052032095989, 0,9981805023269322, 0,6953852275986321]","[0,8569891265237183, 0,6046338516684705, 0,5580603036319649, 0,45058546740835603, 0,5489343331837093, 0,46962837332618845, 0,41957396951473047, 0,4369453476502758, 0,42389993068310994, 0,5412972233691145, 0,6592145407340049, 0,7896183289922709]"
0,3,10,"1288,60296493185","743014,824659259","[0,3310128787661497, 0,6542086618545389, 0,8428445998035061, 0,9299632468273531, 0,8093246902442014, 0,9820824868604637, 0,9999347107067953, 0,9970219091349304, 1,0, 0,9474535015492112, 0,6794039421984985, 0,4357747863179222]","[1,0, 0,9021828413554638, 0,8726584612414128, 0,7681923885643779, 0,8563772770263497, 0,7853664704601921, 0,7605044977131014, 0,7580540891912491, 0,77722891577034, 0,8423224394378588, 0,9864353919735238, 1,0]"
0,3,9,"1210,96273290654","729813,664532715","[0,328507546530315, 0,6352753405243537, 0,8246489783089127, 0,9195549908888299, 0,809463139758105, 0,981266115418361, 1,0, 0,995228032016407, 1,0, 0,8379981527421578, 0,6866771342894595, 0,44180102986766157]","[0,9632261908696915, 0,8443784045205294, 0,8220402990036737, 0,7438514044390625, 0,7971033143000069, 0,751019241782301, 0,708831529052705, 0,7240121840282718, 0,7229530493076679, 0,80291605086692, 0,9517893872440241, 0,9835628904525383]"
0,6,6,"1008,52800693877","-1107359,96530617","[0,501500970003784, 0,7408188613879754, 0,8632759373867109, 0,9163938167742847, 0,8722688668622103, 0,9876098103335695, 0,9998470495807446, 0,974987330162076, 0,986013684202096, 0,7905655027413018, 0,7615040475836199, 0,5871962123774723]","[0,8004341686456855, 0,5386874435507566, 0,481536682733699, 0,3988878122832433, 0,4707049468493453, 0,4029166489774958, 0,35934634961005085, 0,38056690355462186, 0,3730454614283806, 0,48414028698267575, 0,6053077399468754, 0,7231294946836051]"
0,7,5,"965,443012514815","-1597784,93742593","[0,5242825710885111, 0,7193685877374613, 0,8405760572062454, 0,8912301385855448, 0,8529419379038041, 0,9636863471018616, 0,9729811825421834, 0,9414419083373686, 0,9432197384797356, 0,77102300894967, 0,7240437246757533, 0,5844551165812072]","[0,7272545886784164, 0,4638729602134135, 0,4180505914497832, 0,3448299824684381, 0,401722528731678, 0,3407223391787486, 0,3036128656661018, 0,32026323595498785, 0,3189251866222059, 0,42103116130126894, 0,5138805129336115, 0,6320094069970128]"
0,4,6,"1022,76877547901","263843,877395061","[0,38852420658760556, 0,6511087634087338, 0,8185114714191433, 0,8876984541135556, 0,8121859228443663, 0,9617593851027246, 0,9831540382071717, 0,9520338015780329, 0,9669487424248115, 0,7219753373183808, 0,6968299136827689, 0,48002231547054497]","[0,9069507615935755, 0,7005148320024039, 0,6750810315469631, 0,5787631661267258, 0,6374395734325555, 0,5685508603493266, 0,5282422982664612, 0,5489631335481426, 0,5533164616947424, 0,6487491639494714, 0,79487231130473, 0,8665223608116983]"
0,9,5,"973,600303822591","-2856998,48088704","[0,5922406079757586, 0,7517920389591951, 0,8665325351686334, 0,9001886967642294, 0,8771671038395846, 0,9759492831061207, 0,9799227722464052, 0,9521450422992566, 0,9478622408809328, 0,8067767256030907, 0,756459451984152, 0,629979159885714]","[0,6572569920690312, 0,38663685031991823, 0,3439990656087386, 0,27601880394787626, 0,3331859110639117, 0,2762566242634026, 0,24347624421853487, 0,25570251045208214, 0,2509696117147302, 0,3484145376837432, 0,41856142629687076, 0,5336711365225495]"
0,8,4,"916,300088586173","-2118499,55706913","[0,5173480845659806, 0,6785971126757737, 0,7816772207449131, 0,850903290198348, 0,8305237390862542, 0,9363603167542853, 0,9435649577334946, 0,8898866933659954, 0,879894824511909, 0,736813993382777, 0,6764031181042234, 0,5521378483442465]","[0,6178029655365571, 0,37235905959776594, 0,3259957775615887, 0,27741981655459613, 0,32913351761634624, 0,28598333967925904, 0,2550383260967234, 0,2571053476964069, 0,2542443728061088, 0,3338781417569011, 0,4008589140612878, 0,5164957529767904]"
0,7,6,"1010,25329121185","-1748733,54394074","[0,5480320649690709, 0,7685101923977071, 0,888884324081554, 0,9322459975058521, 0,8803274887214116, 0,9802476767115116, 0,9915121891412441, 0,9719436106759336, 0,9766635138539115, 0,8134783720052017, 0,787064121422127, 0,6230915762648153]","[0,7605972044414577, 0,4869533785504857, 0,43946161067014944, 0,3521502966816653, 0,3999108914402014, 0,33716938868137913, 0,30639559059754407, 0,326601577823035, 0,3255510724368734, 0,43235001876844614, 0,5437541394149499, 0,6664330393520281]"
0,6,2,"832,9095951921","-485452,0240395","[0,411830604630283, 0,565980380287145, 0,6715045554148846, 0,742866039221175, 0,7313303653469879, 0,829163484009181, 0,8427383224120719, 0,7876260093998346, 0,7947660789636819, 0,6035819904779999, 0,5651841588941755, 0,44314949927732905]","[0,6730027225601178, 0,43340983751834616, 0,3975463880728307, 0,3407338839206768, 0,4054621535547731, 0,35121920781727334, 0,31796900166925157, 0,3201641786340442, 0,3230749382232524, 0,38814162969630595, 0,46114128546788635, 0,5827839315702346]"
0,3,2,"842,876867201235","1514384,33600618","[0,2850862683655795, 0,46817407223107155, 0,607412603217039, 0,6856312099325097, 0,6424394218417253, 0,7709677151249423, 0,8042331180211741, 0,7542165283276839, 0,7574388617152584, 0,5213975230311348, 0,47957744845740446, 0,3442782044946483]","[0,873866382604904, 0,6883740846060733, 0,6758660101175842, 0,6109387472631747, 0,6764145219851159, 0,6198450316903775, 0,5843002923302582, 0,5968782364725056, 0,5992498920638454, 0,6512495616197546, 0,7531466676034525, 0,8337955030863343]"
0,3,2,"842,876867201235","1514384,33600618","[0,2850862683655795, 0,46817407223107155, 0,607412603217039, 0,6856312099325097, 0,6424394218417253, 0,7709677151249423, 0,8042331180211741, 0,7542165283276839, 0,7574388617152584, 0,5213975230311348, 0,47957744845740446, 0,3442782044946483]","[0,873866382604904, 0,6883740846060733, 0,6758660101175842, 0,6109387472631747, 0,6764145219851159, 0,6198450316903775, 0,5843002923302582, 0,5968782364725056, 0,5992498920638454, 0,6512495616197546, 0,7531466676034525, 0,8337955030863343]"
0,3,3,"889,31067799568","1371553,3899784","[0,29490237936222163, 0,5041704351353895, 0,6520685286318224, 0,7313091411305134, 0,6777684028140621, 0,8226274515163269, 0,8553074796112252, 0,7986523378243654, 0,8096180127640529, 0,56293543780171, 0,5136866939860425, 0,3628286882109566]","[0,9025923656466696, 0,7422862060949711, 0,7188162368900166, 0,6462831879684129, 0,7064560876914678, 0,6504978214050205, 0,6245697195292115, 0,6215083972957691, 0,6317122703799056, 0,689485397865238, 0,789779260472204, 0,8493108508143906]"
0,5,2,"830,790633162718","153953,16581359","[0,3796071883784454, 0,541439924597547, 0,6594302868750861, 0,7311325613077664, 0,7118604987487255, 0,8273469585334381, 0,8397936498064119, 0,7873151979947018, 0,7810266340773786, 0,5848200162576092, 0,5375847881930899, 0,41172224655329404]","[0,7112835878535854, 0,4901646211243301, 0,46279266818364273, 0,40026054078468754, 0,4689162814461888, 0,41608747564366355, 0,37776724884879953, 0,38128790993444206, 0,3772980939142383, 0,4468534216993951, 0,5129758245073, 0,6147805982099463]"
0,6,4,"909,9651217921","-850174,391039502","[0,4661697312768931, 0,6624620767856518, 0,7820580285479796, 0,8440430894701724, 0,8086173162364829, 0,9211177101716217, 0,9450083292141798, 0,8918507775657276, 0,8983895060293551, 0,7097564040933484, 0,6714124150697136, 0,5241743988009202]","[0,7439630781286809, 0,4923743253077606, 0,4483450148111586, 0,3755821855030179, 0,42429233575318315, 0,37006143587748175, 0,3401414014691265, 0,3506823576736964, 0,35278999401488, 0,44293348358864226, 0,5478505431792452, 0,663698281537034]"
0,7,4,"917,460100152469","-1462699,49923766","[0,4949799966597881, 0,6691822461859883, 0,7958330575127918, 0,8513896064452873, 0,825046307185686, 0,9324100565923263, 0,9419673605200524, 0,9014018137693337, 0,8988219126858532, 0,7200053839405494, 0,6788692273038668, 0,5379479045615205]","[0,6808942181826101, 0,4356817543746866, 0,40060664460523143, 0,3280870052109375, 0,38914953042256917, 0,32592196050816524, 0,29594600769784496, 0,3085917173380418, 0,3054623236792514, 0,3967941155894502, 0,4737151570091802, 0,5754908093168302]"
0,6,3,"872,60842639284","-661957,8680358","[0,4394955940855436, 0,6082082227236141, 0,7335019909626945, 0,8000373174981654, 0,7813916487548511, 0,890105969013717, 0,9022405200279375, 0,8486347618423676, 0,8451154286048799, 0,6524883406327298, 0,6118552778194251, 0,478372738726197]","[0,7080797638350045, 0,4662491860917376, 0,4339293572062878, 0,36609954060741434, 0,4287927010188104, 0,36767733866499663, 0,33339230825067745, 0,3424066671914392, 0,3448948344009587, 0,4248852919763605, 0,5043661567894469, 0,5964513057472579]"
0,5,4,"914,627350994322","-176863,245028389","[0,42078604701946165, 0,6185489375205424, 0,7547532444265868, 0,8256532497688958, 0,7758929017186337, 0,8928881949621409, 0,923426887061768, 0,8807113502150568, 0,8847538384355158, 0,6761353280788642, 0,633536665468236, 0,4875741798833857]","[0,7820349436654731, 0,5321557404604906, 0,5110963793812173, 0,43666180661787757, 0,4902466983848125, 0,4160078743017167, 0,3926564580080175, 0,41568669182066964, 0,4130127139393702, 0,49722737467440703, 0,5818306398083022, 0,701909191330319]"
0,4,4,"923,486340007408","517431,700037038","[0,36251061600876, 0,5789229116707703, 0,7333507606798424, 0,8028336766286538, 0,7467322569428181, 0,889723199714124, 0,9129313017611056, 0,8607025684906144, 0,8706979112778372, 0,6428151603235914, 0,5846542424828367, 0,4240839631558694]","[0,8187137148991916, 0,6116129253425666, 0,6123836597813005, 0,5302849601288346, 0,5905028902576932, 0,5201227345330255, 0,4867417952545059, 0,5036106552407084, 0,5089242254661717, 0,5841264503219797, 0,6381746414832639, 0,7039643786825165]"
0,5,4,"914,627350994322","-176863,245028389","[0,42078604701946165, 0,6185489375205424, 0,7547532444265868, 0,8256532497688958, 0,7758929017186337, 0,8928881949621409, 0,923426887061768, 0,8807113502150568, 0,8847538384355158, 0,6761353280788642, 0,633536665468236, 0,4875741798833857]","[0,7820349436654731, 0,5321557404604906, 0,5110963793812173, 0,43666180661787757, 0,4902466983848125, 0,4160078743017167, 0,3926564580080175, 0,41568669182066964, 0,4130127139393702, 0,49722737467440703, 0,5818306398083022, 0,701909191330319]"
0,5,4,"914,627350994322","-176863,245028389","[0,42078604701946165, 0,6185489375205424, 0,7547532444265868, 0,8256532497688958, 0,7758929017186337, 0,8928881949621409, 0,923426887061768, 0,8807113502150568, 0,8847538384355158, 0,6761353280788642, 0,633536665468236, 0,4875741798833857]","[0,7820349436654731, 0,5321557404604906, 0,5110963793812173, 0,43666180661787757, 0,4902466983848125, 0,4160078743017167, 0,3926564580080175, 0,41568669182066964, 0,4130127139393702, 0,49722737467440703, 0,5818306398083022, 0,701909191330319]"
0,5,2,"830,790633162718","153953,16581359","[0,3796071883784454, 0,541439924597547, 0,6594302868750861, 0,7311325613077664, 0,7118604987487255, 0,8273469585334381, 0,8397936498064119, 0,7873151979947018, 0,7810266340773786, 0,5848200162576092, 0,5375847881930899, 0,41172224655329404]","[0,7112835878535854, 0,4901646211243301, 0,46279266818364273, 0,40026054078468754, 0,4689162814461888, 0,41608747564366355, 0,37776724884879953, 0,38128790993444206, 0,3772980939142383, 0,4468534216993951, 0,5129758245073, 0,6147805982099463]"
0,3,2,"842,876867201235","1514384,33600618","[0,2850862683655795, 0,46817407223107155, 0,607412603217039, 0,6856312099325097, 0,6424394218417253, 0,7709677151249423, 0,8042331180211741, 0,7542165283276839, 0,7574388617152584, 0,5213975230311348, 0,47957744845740446, 0,3442782044946483]","[0,873866382604904, 0,6883740846060733, 0,6758660101175842, 0,6109387472631747, 0,6764145219851159, 0,6198450316903775, 0,5843002923302582, 0,5968782364725056, 0,5992498920638454, 0,6512495616197546, 0,7531466676034525, 0,8337955030863343]"
0,4,2,"834,674088834568","823370,444172838","[0,3378711186581681, 0,5054522051413648, 0,6432377667897946, 0,7119310153088678, 0,6773112759758866, 0,8045863438553815, 0,8279423211237654, 0,7711754692796309, 0,775573631565489, 0,5605632217894234, 0,5148733523307276, 0,38205445771667257]","[0,7737710648853509, 0,5602285983117672, 0,5572185792447012, 0,48661452455925114, 0,5524143180718579, 0,4926878999533474, 0,46248022240227593, 0,46678253872151976, 0,47290888322430114, 0,5297502110275043, 0,607138177522757, 0,6903566705089741]"
0,4,2,"834,674088834568","823370,444172838","[0,3378711186581681, 0,5054522051413648, 0,6432377667897946, 0,7119310153088678, 0,6773112759758866, 0,8045863438553815, 0,8279423211237654, 0,7711754692796309, 0,775573631565489, 0,5605632217894234, 0,5148733523307276, 0,38205445771667257]","[0,7737710648853509, 0,5602285983117672, 0,5572185792447012, 0,48661452455925114, 0,5524143180718579, 0,4926878999533474, 0,46248022240227593, 0,46678253872151976, 0,47290888322430114, 0,5297502110275043, 0,607138177522757, 0,6903566705089741]"
0,3,4,"938,339708834322","1241698,54417161","[0,30399107183817276, 0,5362728913386661, 0,6930705290983674, 0,7743847179092547, 0,7017530570199305, 0,8597688998440436, 0,9029297610297942, 0,8377391114022844, 0,8540750780996894, 0,5984103747282865, 0,5528734378699858, 0,38003422302976364]","[0,9284607365664559, 0,770710262466268, 0,7557993294214753, 0,6745194940428829, 0,7288784645182713, 0,6651243254246326, 0,6463778789877314, 0,6531646229757204, 0,6632963048130901, 0,727551322755549, 0,828826453632099, 0,8823954257128898]"
0,7,4,"917,460100152469","-1462699,49923766","[0,4949799966597881, 0,6691822461859883, 0,7958330575127918, 0,8513896064452873, 0,825046307185686, 0,9324100565923263, 0,9419673605200524, 0,9014018137693337, 0,8988219126858532, 0,7200053839405494, 0,6788692273038668, 0,5379479045615205]","[0,6808942181826101, 0,4356817543746866, 0,40060664460523143, 0,3280870052109375, 0,38914953042256917, 0,32592196050816524, 0,29594600769784496, 0,3085917173380418, 0,3054623236792514, 0,3967941155894502, 0,4737151570091802, 0,5754908093168302]"
0,7,4,"917,460100152469","-1462699,49923766","[0,4949799966597881, 0,6691822461859883, 0,7958330575127918, 0,8513896064452873, 0,825046307185686, 0,9324100565923263, 0,9419673605200524, 0,9014018137693337, 0,8988219126858532, 0,7200053839405494, 0,6788692273038668, 0,5379479045615205]","[0,6808942181826101, 0,4356817543746866, 0,40060664460523143, 0,3280870052109375, 0,38914953042256917, 0,32592196050816524, 0,29594600769784496, 0,3085917173380418, 0,3054623236792514, 0,3967941155894502, 0,4737151570091802, 0,5754908093168302]"
0,7,4,"917,460100152469","-1462699,49923766","[0,4949799966597881, 0,6691822461859883, 0,7958330575127918, 0,8513896064452873, 0,825046307185686, 0,9324100565923263, 0,9419673605200524, 0,9014018137693337, 0,8988219126858532, 0,7200053839405494, 0,6788692273038668, 0,5379479045615205]","[0,6808942181826101, 0,4356817543746866, 0,40060664460523143, 0,3280870052109375, 0,38914953042256917, 0,32592196050816524, 0,29594600769784496, 0,3085917173380418, 0,3054623236792514, 0,3967941155894502, 0,4737151570091802, 0,5754908093168302]"
0,6,4,"909,9651217921","-850174,391039502","[0,4661697312768931, 0,6624620767856518, 0,7820580285479796, 0,8440430894701724, 0,8086173162364829, 0,9211177101716217, 0,9450083292141798, 0,8918507775657276, 0,8983895060293551, 0,7097564040933484, 0,6714124150697136, 0,5241743988009202]","[0,7439630781286809, 0,4923743253077606, 0,4483450148111586, 0,3755821855030179, 0,42429233575318315, 0,37006143587748175, 0,3401414014691265, 0,3506823576736964, 0,35278999401488, 0,44293348358864226, 0,5478505431792452, 0,663698281537034]"
0,6,4,"909,9651217921","-850174,391039502","[0,4661697312768931, 0,6624620767856518, 0,7820580285479796, 0,8440430894701724, 0,8086173162364829, 0,9211177101716217, 0,9450083292141798, 0,8918507775657276, 0,8983895060293551, 0,7097564040933484, 0,6714124150697136, 0,5241743988009202]","[0,7439630781286809, 0,4923743253077606, 0,4483450148111586, 0,3755821855030179, 0,42429233575318315, 0,37006143587748175, 0,3401414014691265, 0,3506823576736964, 0,35278999401488, 0,44293348358864226, 0,5478505431792452, 0,663698281537034]"
,,,,,,
,,,,,,
,,,,,,
,,,"830,790633162718",,,
